sep=,
Date,Time,Item,SKU,Quantity,Unit price,Total discount,Unit cost price,Gross profit,Total (incl tax),Status
2025/02/07,15:44:00,Harry,MM-HAR,1,40.00,0.00,,,40.00,Approved
2025/02/07,15:40:24,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/07,11:53:58,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,11:23:42,Barry White,MM-BAW,2,35.00,0.00,,,70.00,Approved
2025/02/07,11:13:36,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,10:48:26,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,10:23:37,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/07,10:23:37,Tilda Swinton,MM-TSW,1,35.00,0.00,,,35.00,Approved
2025/02/07,10:04:56,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/07,10:02:49,MmFreeze,MM-FRZ,1,45.00,0.00,,,45.00,Approved
2025/02/07,09:44:26,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/07,09:32:17,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,09:32:17,Decaf,MM-DEC,1,7.00,0.00,,,7.00,Approved
2025/02/07,09:22:22,Steve Austin,MM-AUS,2,40.00,0.00,,,80.00,Approved
2025/02/07,09:03:15,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/07,08:59:06,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,08:55:22,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,08:42:39,Tilda Swinton,MM-TSW,1,35.00,0.00,,,35.00,Approved
2025/02/07,08:42:39,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,08:39:30,Danny De Vito,MM-DDV,1,25.00,0.00,,,25.00,Approved
2025/02/07,08:39:30,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/07,08:09:16,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,08:08:54,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,07:52:11,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/07,07:52:11,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/07,07:47:10,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/07,07:41:47,Syrup,MM-SYR,2,7.00,0.00,,,14.00,Approved
2025/02/07,07:41:47,Barry White,MM-BAW,2,35.00,0.00,,,70.00,Approved
2025/02/07,07:31:52,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/07,07:22:28,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/06,15:55:12,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/06,14:16:44,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/06,14:16:44,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,14:06:10,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,14:05:51,Trevor Noah,MM-TRE,1,42.00,0.00,,,42.00,Approved
2025/02/06,13:12:17,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,13:04:50,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/06,12:31:38,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
